,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
15105,Embraer E190,278053.17592873354,1039615.3206329852,690196.0898459437,20%-40% of MAC,241.19912324509824,59.52995035517317,172428.52777593528,157,92269.40450117562,46964,542,Turbofan,69.29164248919434
15106,Embraer E190,110281.96223651127,247940.88854904,215180.82002204677,20%-35% of MAC,728.7936858425252,55.86258405245958,444297.3706428043,137,53622.20495084194,27381,665,Turboprop,33.047343700597835
15107,Boeing 737-800,233487.8738399615,697194.3282591591,507777.5047027583,35%-45% of MAC,429.5912699581216,193.51690992966715,50372.74966947529,65,76696.27896301128,53668,579,Turbofan,65.80609598462144
15108,Boeing 777,105325.8675553882,392984.3018439245,243455.971034826,20%-40% of MAC,694.263123152939,100.36442673325166,105520.43582473636,242,45698.136965902784,49472,549,Turbofan,88.6168444580411
15109,Airbus A320,36405.281872607935,117834.26021613626,82895.86499315745,20%-40% of MAC,987.438400578088,83.9517231431999,32879.149514197416,433,77169.39607211103,47842,608,Turbofan,47.591043521390695
15110,Boeing 737-800,115279.9781061864,316958.5842291551,307266.2017712574,15%-30% of MAC,988.7127474882992,65.30241688750047,435850.7924307376,342,67188.2864447853,26124,666,Piston,87.22755995997964
15111,Embraer E190,235189.20757831496,615675.4118164423,502008.82480133686,20%-40% of MAC,502.1259897825296,52.60931553512225,189569.51297939903,200,93382.69256155653,54550,574,Turboprop,10.091806446649723
15112,Embraer E190,207774.7098621688,985521.7485549008,888520.6558656755,35%-45% of MAC,486.63756230041184,113.00157890346158,315114.57854264445,244,85991.97414504382,57357,591,Turbofan,83.65267157171458
15113,Boeing 777,293158.108086076,1277016.817699124,770247.5581261183,20%-40% of MAC,654.4504583582627,31.47388436096312,454987.60888813005,110,87974.03918342944,27401,677,Turbofan,79.63122522394407
15114,Embraer E190,133512.5713923187,379306.4100037393,373246.3392549236,25%-35% of MAC,840.9698450616428,179.08306485022686,182385.3388964228,382,62154.18048645672,41678,691,Piston,12.43606808177312
15115,Boeing 777,266926.9877771589,1260741.8959226352,426518.98646695993,20%-40% of MAC,507.3497605830508,101.36160383939053,387682.76262349496,446,54716.025980093946,54991,619,Turbofan,76.51690821187611
15116,Beechcraft King Air 350,238255.91518141885,505329.7282060373,381918.2417036432,20%-35% of MAC,878.1838637813771,92.38105480964904,498700.2648221613,159,19154.775976813144,27895,568,Turbofan,60.58661866509088
15117,Cessna 172,257988.9478154576,599063.6778483583,573527.2798759913,15%-30% of MAC,605.0593547241349,34.19911066734832,317183.2636125388,448,40560.9126584799,44376,562,Turbofan,10.873979037207558
15118,Bombardier Global 6000,65238.310945380814,71618.81284595122,67427.97169008052,20%-40% of MAC,865.1052166072193,95.57421940457677,415253.0593872454,169,17313.743633593946,31544,537,Turboprop,72.65072261794433
15119,Boeing 777,136582.04692063484,419742.88222410425,274197.4639729008,25%-35% of MAC,739.5419450090226,113.6000845742622,365743.5059756267,389,65623.44785318029,43662,499,Piston,20.91297849676199
15120,Beechcraft King Air 350,21863.625082926323,78390.84285715155,31043.0809345627,20%-40% of MAC,290.14648373571833,48.10291635582129,248932.184461092,488,94497.90448021363,34860,473,Turboprop,57.07293059033024
15121,Boeing 747-8,208631.79299935425,472640.7933034148,454296.9960891751,20%-40% of MAC,452.7316794235281,77.18795554542831,91875.7376578078,226,60977.08307874635,44702,519,Turboprop,72.08043337046989
15122,Airbus A380,131703.86015159846,624887.7689642324,186039.05327462556,15%-30% of MAC,887.6712215461633,117.05670529614368,385834.1396566026,64,96951.579704743,38619,617,Turboprop,52.55698515162204
15123,Bombardier Global 6000,105122.06963771844,300693.8088937667,111785.8479676554,20%-40% of MAC,550.3124062964216,54.89728344545895,24466.80975724284,214,43501.74261138417,31618,448,Turbofan,45.42041799559202
15124,Boeing 747-8,12348.169391202851,13654.626361520835,12501.652404219714,15%-30% of MAC,453.83377756381947,36.756002484634834,248291.07832408047,326,6698.551228877506,55773,477,Piston,68.14037230333457
15125,Gulfstream G650,18311.54711015108,52271.826697084754,42062.12435980622,20%-35% of MAC,406.3635067726211,58.6173893337895,393544.69597328303,456,41411.33926872482,32037,683,Turboprop,16.566923440516913
15126,Bombardier Global 6000,283059.1387577253,745864.7477633818,479411.1779529321,20%-35% of MAC,826.6532705700174,79.55587031633993,289784.51571100595,483,20760.788573540874,46868,566,Turboprop,28.56716841279996
15127,Boeing 777,234653.5338794115,536708.4708629557,310689.79184174223,20%-40% of MAC,583.561199677797,179.72304641643248,319376.86133774545,185,6524.054366538376,43606,555,Turboprop,87.22591187311822
15128,Embraer E190,170056.4954841766,258611.21421389052,252730.48337531465,20%-35% of MAC,663.2340077491241,169.12453710825898,50793.37669975449,283,72279.79918949388,37809,517,Piston,45.90820182831383
15129,Embraer E190,27702.088322045685,115834.76408725316,81211.05068441754,25%-35% of MAC,470.1681487673144,137.28051596541783,415908.105092955,272,80832.733865574,36197,438,Piston,61.60446701230209
15130,Boeing 737-800,99020.8601850842,248060.95756444093,121588.776518413,35%-45% of MAC,837.0566118021075,132.96287776998548,325462.33968631347,69,5879.741560021381,27597,442,Turbofan,54.44132197150351
15131,Gulfstream G650,63558.7761665192,172929.8697238333,76824.10946372354,25%-35% of MAC,615.0794623518632,69.45873646396441,18077.13817176371,123,62747.24378790803,28744,526,Turboprop,83.49435997079736
15132,Cessna 172,19343.54566743641,76450.97425768086,55015.13140948891,15%-30% of MAC,539.5380962500849,181.30255673184607,183234.20252669853,119,49900.7271728521,20236,575,Turboprop,51.61939445968704
15133,Embraer E190,246499.8787572253,996056.024680204,620726.0036007147,15%-30% of MAC,856.888911253287,109.17158569540348,467379.773107425,335,11955.680821442242,38307,600,Turboprop,66.23802375117279
15134,Boeing 747-8,122337.1281978198,583725.791708291,358268.6142713264,20%-40% of MAC,585.3136005006876,27.179176603658743,138622.1319650696,76,45560.26201457544,23207,525,Turbofan,60.69868322347453
15135,Airbus A320,37125.31520510404,103066.34202391272,80691.33181097507,20%-40% of MAC,819.2024842527769,139.9380570206921,59564.631141105885,190,22109.84493622753,57266,605,Turbofan,77.90844253066999
15136,Boeing 747-8,117839.27958681132,154959.3995495408,121954.93575270256,20%-35% of MAC,735.9358670935409,38.59914737026296,169167.1564492468,275,14658.648458415104,20275,587,Turboprop,47.44117031517423
15137,Embraer E190,269418.74966136354,938518.483236424,879929.8554980933,20%-40% of MAC,826.3810621632674,95.46134467727931,291768.104779175,228,62580.32698520028,57216,523,Piston,98.98865504814772
15138,Gulfstream G650,72991.23234572752,253013.7510095809,247022.21885600316,25%-35% of MAC,406.82880789188135,108.33535178584717,409045.5542516547,340,44128.346520021805,42961,458,Piston,50.90561946806046
15139,Boeing 777,95233.85798991295,254866.5714826553,212502.4395709122,20%-40% of MAC,768.8574708969481,166.86799171112557,33106.83692084906,365,16297.313264716571,21794,659,Turboprop,40.144678808598144
15140,Boeing 737-800,274231.7327038697,1088367.5145014618,514498.1341171716,25%-35% of MAC,809.8289452611567,127.23454920411614,210952.2856110449,243,33153.236294746064,31665,468,Piston,84.50371584767439
15141,Beechcraft King Air 350,128044.54890330225,484279.9602687065,138845.9981918339,25%-35% of MAC,738.3833507000635,23.852483234332706,268439.26915742125,211,34328.58081229948,23443,691,Piston,71.38133186295514
15142,Beechcraft King Air 350,34530.94212167845,156278.29230683795,61690.7423593517,20%-40% of MAC,402.7094102698813,155.07463850498917,32250.622715781163,241,58628.19179125885,51916,529,Turbofan,34.76933113334104
15143,Gulfstream G650,279495.20463217446,380769.6530845883,297490.24469574686,20%-40% of MAC,406.12673057059305,197.17116795840624,183104.63977718787,374,46356.47165463741,56400,528,Turbofan,76.86395012960023
15144,Beechcraft King Air 350,23485.697165153724,60587.34362953822,25436.51381326324,35%-45% of MAC,291.5133670760983,125.58361231021811,102817.00076467828,105,59432.99033227511,48285,489,Turbofan,47.21580617435581
15145,Beechcraft King Air 350,46228.45271639497,204240.32361765305,74855.61538408231,20%-40% of MAC,846.6948520633572,90.06391498038528,7363.988825296085,162,50130.21183934292,57473,558,Turbofan,72.52397527400066
15146,Beechcraft King Air 350,269805.5648016592,693614.672016788,616343.3205700959,20%-40% of MAC,806.7266972009767,182.92254812520855,215641.8677208161,420,84091.780481271,34691,632,Turbofan,68.21244687176966
15147,Bombardier Global 6000,227044.3163832858,728330.6133152295,588393.5924731006,15%-30% of MAC,524.4076020943248,189.2014230817689,446940.260211074,479,81206.51011405747,33918,643,Turbofan,10.441009409531455
15148,Airbus A320,210999.04727231545,285316.351962795,284676.2113754592,20%-35% of MAC,724.4899136662757,114.38589304159454,288413.09813677607,188,86357.56923174157,20984,687,Turbofan,57.15144517194382
15149,Embraer E190,47140.12640674412,166324.94861131863,55719.88151054231,25%-35% of MAC,882.1648744117889,135.32302264534843,368765.5650138549,328,14691.458354654593,37780,700,Turbofan,99.97324122387936
15150,Airbus A320,186852.79326347055,822725.3529479252,619635.9773302758,25%-35% of MAC,613.3887985606125,67.2788608944565,77274.37353946645,69,33148.83656112129,31101,611,Piston,74.88108550628141
15151,Embraer E190,110108.9964496714,295084.9107037588,273494.6866424506,35%-45% of MAC,713.4367946239026,191.68356321695248,415832.8584567328,249,81091.21666665211,57314,678,Turbofan,45.391077037374416
15152,Gulfstream G650,153749.10775192842,578189.3601969919,407378.0653490106,25%-35% of MAC,464.8986521191152,179.87194853447588,380224.3653928106,309,49510.898666196365,45223,444,Turboprop,21.487001261540968
15153,Airbus A320,231540.58979850885,905534.1099879746,695302.6030345359,20%-40% of MAC,436.9348491949485,33.12056856782412,223142.5435144329,85,40244.09769546556,32458,605,Turboprop,21.95721166286432
15154,Boeing 777,218354.21379438267,901645.7266809632,750708.090360822,35%-45% of MAC,444.5941667976722,54.192917166912736,461858.1355738938,89,13933.793781220029,44784,439,Turboprop,62.2376526029087
15155,Gulfstream G650,215467.3111542516,842920.990460148,784480.9837356701,35%-45% of MAC,979.5678483651808,154.4951394335539,9367.63193368597,248,77108.8015632403,23677,505,Turboprop,61.11154649603371
15156,Boeing 737-800,250496.7577471935,724183.7547537137,640184.841191381,35%-45% of MAC,756.0051323796129,93.94762197757532,23620.214203065803,358,82739.44441765454,32008,600,Turboprop,30.11498950753208
15157,Bombardier Global 6000,288830.1729654014,470500.339629782,387295.29770268727,35%-45% of MAC,341.4178869725838,102.8951982852634,468478.2531321338,347,23568.170707564903,30094,671,Turbofan,99.79124705085928
15158,Boeing 747-8,141828.1625257188,432472.9715529172,430412.483596529,20%-40% of MAC,231.76609619097584,29.480471374738336,305467.92174130736,109,43094.95968421559,47291,430,Turbofan,70.82566308319991
15159,Airbus A380,280180.7180743126,1266639.6524107924,462067.9555700229,15%-30% of MAC,374.4159818187948,178.83982905469145,471567.2861189013,435,21139.32933718896,47008,663,Piston,91.01118687441782
15160,Boeing 747-8,53853.43038001853,207205.40102472325,199309.2413817368,35%-45% of MAC,790.2556282574324,106.16162635405482,62873.88022682752,484,54134.09317886638,36771,403,Turboprop,98.3437273353241
15161,Airbus A380,48853.689636349256,189050.67198787507,81008.62081913948,25%-35% of MAC,983.6460011654696,51.7239952945586,85260.40451126726,359,89581.84131312424,58364,449,Turboprop,16.009423694659365
15162,Embraer E190,121608.73672515752,533211.9849989795,190484.7436624377,20%-40% of MAC,709.9117798100028,122.18403001472367,361282.533624407,68,99553.88366221484,34987,564,Turbofan,23.103177696375155
15163,Boeing 747-8,76476.18716797966,292639.00326098606,284543.1337374087,20%-40% of MAC,613.5388585510605,70.47879336161542,241890.4423036377,419,17552.564975238674,55660,564,Piston,43.84078255430079
15164,Embraer E190,7022.768102173513,23765.61691931646,8706.21553155467,20%-40% of MAC,666.6369617505098,192.36887160367544,209049.2896375771,419,92512.32632256724,57429,586,Piston,84.24676626593134
15165,Boeing 747-8,145662.5278314037,404676.0660722928,332926.9981742389,25%-35% of MAC,404.64322424594064,25.91884711259629,374220.9105531672,337,59000.7798290368,23966,563,Piston,85.8130108544878
15166,Bombardier Global 6000,190940.96961227508,468547.02074176096,286045.8133059759,20%-40% of MAC,924.2508682489732,83.54541258584122,257764.9054955822,340,50581.550422468776,35888,641,Piston,24.227211329891364
15167,Airbus A380,258667.20952819253,391074.67233120464,260088.09864176123,35%-45% of MAC,379.1184347465186,128.06537925918207,172806.9316846481,233,58256.66785939975,59889,411,Turbofan,56.85239137609051
15168,Bombardier Global 6000,277252.6602121529,1224704.3464543505,333439.4323976003,20%-35% of MAC,516.2271030692377,122.32718587370732,384586.8830273288,417,14055.86920645885,32718,656,Piston,80.18498777340851
15169,Embraer E190,205762.5252619996,472584.8703334068,340425.8715702748,35%-45% of MAC,618.603976446862,178.48278941904692,194336.41203264252,188,51040.58661675303,37249,697,Turbofan,66.27054669942447
15170,Embraer E190,262817.9385652999,589384.9806533349,480130.1230162628,35%-45% of MAC,340.620616296751,112.51406098874271,359136.3602257036,500,5219.544183537397,50708,416,Turboprop,78.58318867991822
15171,Beechcraft King Air 350,172559.91083641574,780037.4334146793,324043.97539191344,15%-30% of MAC,869.6315085354848,188.056594904844,236353.08493547136,424,53949.36775577284,41751,642,Turbofan,71.28258007405113
15172,Embraer E190,217168.2679005009,1084711.7576732286,994771.0729930896,25%-35% of MAC,435.80663439907335,106.37251804149136,340620.0259869046,337,80639.23308098163,26359,546,Turboprop,93.41906025117191
15173,Bombardier Global 6000,280603.31664345454,1206045.1043667682,688487.9061976802,35%-45% of MAC,957.243214105634,193.23064938156497,2822.9371731417123,350,5201.186496218503,36280,603,Turbofan,60.6755617416545
15174,Airbus A380,103319.66702361144,388992.45150043024,263556.7133174201,25%-35% of MAC,826.4914783316275,170.0707354318489,286886.0720334666,118,97949.7388739088,58042,508,Piston,44.43843378959645
15175,Airbus A320,27941.4455921731,112414.8782945494,43616.96244317164,20%-35% of MAC,825.1351588401374,48.74401354740773,448239.5266658443,211,24526.92297476627,39833,556,Turboprop,17.90881260433262
15176,Gulfstream G650,146499.11392634772,328852.5701191774,219338.42948222044,20%-40% of MAC,380.18132539088015,93.95026210502462,160125.06243795116,384,78657.02807375819,45837,453,Piston,13.87215411131242
15177,Boeing 777,222143.9528689513,325723.14318687486,295218.1925419098,25%-35% of MAC,252.88574532294925,97.0416057352116,144321.55560825588,208,23363.20343673624,21863,697,Turboprop,64.15063794030284
15178,Boeing 777,273875.77464929427,572539.1552553655,476252.3571907579,35%-45% of MAC,920.4107074129424,102.8817048759246,146090.4092914722,64,74602.60811393651,50110,646,Turboprop,11.465865102599032
15179,Airbus A320,96750.26455155577,113651.64674804066,107052.90511899276,20%-40% of MAC,897.0152693445497,148.91813104888922,193084.9591749766,496,48175.41852778817,56649,623,Turboprop,96.41888399803196
15180,Boeing 737-800,72036.36656122823,309921.92121683864,72886.5786616724,20%-40% of MAC,200.3901277243874,67.88165185667421,331871.4445288895,205,17024.33706546762,28097,597,Piston,27.75059525602084
15181,Gulfstream G650,70592.28588277078,246043.2419254924,112367.92189102348,20%-40% of MAC,773.1178473126181,146.6729721323442,275447.7132032005,489,65623.43965015752,26127,665,Turboprop,29.14883361269549
15182,Bombardier Global 6000,243605.74685758376,1029738.1363736176,640269.9885783886,20%-35% of MAC,432.47265971899617,44.57605605447257,407514.7552873215,140,24190.581542012274,33637,469,Turboprop,38.97853703686814
15183,Boeing 737-800,247115.3371837846,536384.2628665313,470793.1875308143,20%-40% of MAC,629.5853537816713,33.856863598886704,62945.63040938043,458,43574.76316772765,26316,464,Turboprop,56.48602183437407
15184,Beechcraft King Air 350,164976.67242357726,560071.9010400794,473285.2220937469,20%-35% of MAC,356.8838273269898,152.6230494719559,334552.054398478,161,66300.54206567662,22527,583,Turbofan,65.19879310453601
15185,Cessna 172,62766.017138266165,166438.3344297065,143556.51251976035,20%-40% of MAC,736.340936497244,135.03581039134585,371609.3434264972,152,78686.80844434246,44851,629,Piston,23.07807762090294
15186,Embraer E190,80649.06845790593,262041.83262142848,145667.07260595134,20%-35% of MAC,527.7551684489806,23.41417426401764,80177.70313959595,87,56618.03967765174,44125,647,Turbofan,83.78766730499612
15187,Boeing 737-800,267606.20524035,1249872.4726965812,1062835.771563265,15%-30% of MAC,911.295031001982,196.9115021009615,434113.0201524374,256,78348.21509419462,45954,426,Turboprop,40.83251082953386
15188,Boeing 747-8,215247.06744224948,485697.7542734348,446719.90706763184,20%-35% of MAC,854.5393505632861,169.12105964290967,287595.19470101874,191,79687.18294362247,52563,573,Turboprop,75.53657145387314
15189,Beechcraft King Air 350,187356.00232587595,295522.96688028576,289189.9959833514,25%-35% of MAC,638.2308046026105,117.00031696736426,169292.53492630183,267,39529.16861222842,50561,555,Piston,68.26499331340243
15190,Beechcraft King Air 350,38536.28790125257,64025.49454028644,50194.225673638175,35%-45% of MAC,484.4933566838548,38.54951199974792,445369.7932688671,383,64680.19221636662,50062,619,Turbofan,83.8408126580272
15191,Airbus A320,132678.7387302864,624699.2793564885,207488.8715006819,25%-35% of MAC,485.2083435689871,126.23695561236173,368315.2159557553,384,53865.21036326927,51587,515,Turboprop,36.900756921266
15192,Embraer E190,177445.8987777658,294208.0683319955,208983.3675486779,25%-35% of MAC,705.3897544500601,81.31486631268388,23907.125976506897,464,61590.68777176902,40147,651,Turbofan,43.42044856329877
15193,Beechcraft King Air 350,295603.9410862361,1209469.950938342,511138.5804856653,25%-35% of MAC,590.7396913447176,30.28855299473134,415949.03971266,109,68580.48011766755,30815,641,Turbofan,11.621980024516308
15194,Gulfstream G650,188919.58559457172,500897.08248424216,468314.92867350567,25%-35% of MAC,975.2913725595204,169.1316118917816,247991.6926217072,334,92551.69075251603,40780,579,Turboprop,73.9698192417339
15195,Airbus A320,289962.8499802804,943220.1718260588,621095.6697893782,15%-30% of MAC,961.9873229508538,99.20071175335384,459024.1849387606,335,68417.9113931893,29877,458,Piston,62.53869524609716
15196,Bombardier Global 6000,87905.62291366744,369459.6710225615,286698.2854899259,25%-35% of MAC,287.510191485864,135.1805919183285,314385.1940066412,280,28772.42851212431,37955,409,Turbofan,37.65993214896274
15197,Embraer E190,34951.59557526659,108468.66804282134,69147.76826444433,35%-45% of MAC,959.501239072046,136.7527127005571,374032.9976979515,156,3260.4146677291005,41204,591,Turboprop,52.46799656777318
15198,Beechcraft King Air 350,281992.7843815956,531033.7813846754,481365.3991319796,20%-35% of MAC,939.2087054343082,107.45195007173926,182672.2901760184,416,30247.23873020334,47160,412,Turboprop,71.69898070036092
15199,Bombardier Global 6000,185524.70743311403,877760.4425073196,300644.8487047697,25%-35% of MAC,886.284937414309,147.8335726898484,452679.4931674861,453,14295.004663766093,57936,414,Piston,59.04105177595152
15200,Airbus A380,284904.91532366106,911201.9666283616,636472.3319610528,25%-35% of MAC,299.60163459782194,195.1147913618727,70608.22470121278,283,68096.39886372487,57620,631,Piston,38.929989286070985
15201,Boeing 777,161039.71256690135,594773.6189349712,183563.1401223163,35%-45% of MAC,580.1178801655335,106.85105477398724,60261.68931659919,298,17828.213429051088,51993,613,Turbofan,39.53192325994516
15202,Cessna 172,78886.3681421478,121351.66007366954,119895.7461498456,15%-30% of MAC,386.4790483866252,28.613677667379164,429592.11467549903,169,72127.5915124764,49782,526,Turboprop,74.04494665721789
15203,Boeing 737-800,170249.16978167708,207767.72139006652,183506.11154787915,35%-45% of MAC,454.6728667250744,100.90409463712892,469935.2405120697,442,35265.53094123722,41766,519,Piston,88.32943386251678
15204,Bombardier Global 6000,4500.499811307505,21426.37461636186,17520.881331059758,25%-35% of MAC,615.1994647621808,99.76909554823168,460355.075079702,393,96597.54834120494,32334,692,Turboprop,21.2652873306287
15205,Airbus A320,160774.16003284522,384556.034066288,355715.63808335736,20%-40% of MAC,523.8674024926329,154.45852674974924,137153.27616805042,244,11800.662877133327,29149,626,Turboprop,72.99359585002782
15206,Gulfstream G650,117613.26075622757,568159.6484214601,522687.9625981217,35%-45% of MAC,789.145907779273,196.06875042101527,18587.72064655653,314,31862.30582800524,48879,433,Turboprop,94.13424310392097
15207,Bombardier Global 6000,3205.312208507831,10749.302061480754,3630.8224083231553,20%-40% of MAC,888.7807174488038,128.9950798556155,227825.0819644132,305,93833.53814215973,43518,694,Turboprop,92.02960281001026
15208,Boeing 737-800,22668.061022082544,40672.04267858532,34928.28082116414,15%-30% of MAC,458.97156042219945,126.50741784041608,237042.4704561632,338,43919.35752070826,51174,687,Turbofan,32.14478590702076
15209,Beechcraft King Air 350,169847.52405620948,283004.8522864133,264988.9569284087,20%-35% of MAC,258.67064135332305,157.72944342107948,300763.9729281949,163,95178.01724829162,57136,501,Turboprop,18.8927107353801
15210,Boeing 737-800,230938.43750343524,983714.5489384336,881722.4879213131,25%-35% of MAC,976.9625623731348,121.41896957990588,264304.40534788696,197,40299.85204234462,27944,593,Piston,98.41215873859936
15211,Bombardier Global 6000,77051.66506056339,127864.70225891766,108745.83190589622,35%-45% of MAC,470.9548562432613,97.45569758561057,326881.36950122967,72,55945.78971603539,59604,517,Piston,14.297447519298291
15212,Airbus A320,90405.40525060616,171043.55549899972,105978.67793307724,25%-35% of MAC,593.1920241513657,40.262963281485526,322469.0485115578,164,42188.95048610821,25278,548,Turbofan,14.596992111812035
15213,Bombardier Global 6000,76128.83310143871,251013.3671681623,243131.3170229452,20%-40% of MAC,341.7057091369846,194.40106737500628,60189.64198432583,214,89603.10348120646,39866,502,Piston,66.13949302105215
15214,Embraer E190,26909.995692330525,74116.11390646241,36877.050184559885,15%-30% of MAC,873.4822675912623,199.32653232071416,124113.80997396154,191,45249.4623063156,54557,463,Turboprop,83.26055612572927
15215,Cessna 172,224887.68112200123,815451.5531650743,547553.0357211397,35%-45% of MAC,541.8888151102664,98.761959679635,387450.6800841204,432,80808.5281627258,20919,572,Turboprop,32.878205221995096
15216,Airbus A380,89673.22623334308,398915.5991516431,195059.44928718437,20%-40% of MAC,341.34853195885063,102.34502158681504,158051.12143481162,284,15587.5507533053,34459,464,Piston,29.282483217022648
15217,Cessna 172,11293.280453096875,19666.840589796637,13629.195542272457,35%-45% of MAC,287.2882076467241,69.62751035976413,351476.1197761404,178,48266.535984238624,22527,630,Piston,91.10548907121964
15218,Boeing 777,261541.2610080532,1278920.2404863846,607567.8449131018,20%-40% of MAC,653.4515734868071,60.63889034505594,198199.6868873814,249,24291.93899335125,40860,433,Turbofan,51.1654517238217
15219,Beechcraft King Air 350,118142.66258642417,373205.7601638681,352261.2313179207,35%-45% of MAC,698.8373781290934,98.1723480966968,478020.7116736771,427,91129.66512397277,54106,506,Piston,27.22336514959662
15220,Bombardier Global 6000,173441.31718413,277627.5008414329,255811.8110528385,20%-40% of MAC,695.01483229207,131.33970771396127,170752.65803246005,412,1629.0355488272828,53609,648,Turboprop,18.68091747794664
15221,Boeing 737-800,260659.91258696825,327881.01912069984,282916.1378823499,20%-40% of MAC,415.8961902981242,49.55715062016967,405941.8701195076,445,59699.62675991618,56695,587,Piston,89.46876610834573
15222,Airbus A380,2264.947492356706,11075.47905287814,6887.716530018981,35%-45% of MAC,225.920714683426,186.7029969323709,341520.2144339165,166,91336.20452947536,47026,623,Turbofan,69.70817707078683
15223,Beechcraft King Air 350,292241.682205387,1237739.475966982,1181668.315382635,20%-40% of MAC,971.7324349620474,57.74970306501626,189580.84132819693,300,7241.025078420338,27690,532,Turboprop,26.955696121287374
15224,Airbus A320,159598.99520825673,433960.5535237361,409260.217011442,35%-45% of MAC,895.3611341215314,109.48684995819907,352573.3015793247,480,22173.67905004197,57738,417,Piston,20.430239140704245
15225,Airbus A380,281605.4535826842,561989.6455195493,298551.4057537847,15%-30% of MAC,922.2809918925597,171.95397849698216,329949.8803925712,313,48723.84634023285,44610,527,Turboprop,24.661608655814504
15226,Bombardier Global 6000,25455.010216531133,53118.2736883278,46902.002756833535,15%-30% of MAC,508.1855228240612,127.92104999761436,188769.3319492388,110,31366.34165561313,25861,501,Piston,89.16056193397242
15227,Gulfstream G650,260321.24945300008,799263.9529000698,667739.5023252689,25%-35% of MAC,233.69309413515,146.20316230233465,443293.4236136871,159,9969.21548243274,22225,651,Piston,43.57648407635916
15228,Airbus A320,281673.46986904496,544546.4135435265,409547.4901974519,20%-40% of MAC,530.2613925836231,65.37808641913114,497530.75508811045,455,51527.4943792256,25616,696,Turboprop,56.18607268886048
15229,Embraer E190,191638.14117944488,917899.2002167932,353845.4974202297,20%-40% of MAC,638.2472987567851,110.06896197093492,165108.58186946806,134,56532.348717565095,57163,679,Piston,26.342945889734317
15230,Cessna 172,160879.93166386624,328284.041943999,181315.4598517797,35%-45% of MAC,583.4590167820958,30.510119130759545,410028.36423034495,330,35756.48479688676,20847,433,Turbofan,43.75843876300832
15231,Gulfstream G650,154270.38703576286,455739.641522481,169346.8275231002,35%-45% of MAC,382.98759680905096,102.47055477236846,315954.1325704893,206,2142.899270344695,22232,530,Turbofan,86.12679275768322
15232,Beechcraft King Air 350,83550.40118549431,130693.56033971638,97127.67439307718,20%-40% of MAC,356.54046445232615,72.99856546243353,275290.68606364203,133,37701.63245545641,55842,647,Turbofan,94.24608238733242
15233,Bombardier Global 6000,217601.4350773421,1015342.6821279892,850323.7693499257,35%-45% of MAC,327.1079829942697,107.97504256790826,418005.8769511848,425,85732.8468192986,26965,598,Turboprop,10.308700369530133
15234,Boeing 747-8,174543.53878195916,714557.020499951,272369.9117205491,25%-35% of MAC,515.3520883274421,125.93123059384868,193268.89168533072,242,98871.10412442307,27824,659,Turboprop,48.57478558476528
15235,Bombardier Global 6000,53477.65531089091,136092.43811908827,127016.80892180697,15%-30% of MAC,204.2014190724924,52.47130504346944,348877.78038767545,158,95314.99290455488,25219,663,Piston,47.29749392708216
15236,Boeing 737-800,247249.71808822695,683819.5251059585,265796.96418199263,20%-40% of MAC,866.9250176382482,52.68067685729749,459396.675470302,344,33665.3107254847,48675,640,Turboprop,69.71803900923578
15237,Boeing 747-8,288094.210230753,1421888.0927701902,564983.4734230316,15%-30% of MAC,913.2780887362908,131.22243011402412,29558.20503259632,58,53687.3513925306,54588,409,Piston,14.394205993712228
15238,Gulfstream G650,68850.11957025922,180072.20559397462,110290.35639612775,20%-40% of MAC,528.3889151919777,71.4988283851243,296797.7483698862,209,76428.82867953647,30090,415,Turbofan,87.4932868923296
15239,Boeing 747-8,123114.25816128185,557067.4845676245,287309.0668574259,15%-30% of MAC,679.2028902896208,142.5300404818213,362397.776242564,412,68069.05911784737,47444,666,Turboprop,18.50704966118481
15240,Embraer E190,172147.0531933499,281672.4610502095,246679.04992009324,25%-35% of MAC,789.3792914223826,24.31017918721918,382503.8809742337,253,37028.39700212189,31512,627,Piston,61.67686578424232
15241,Embraer E190,165544.43224128007,586487.7077986065,548665.8857590321,15%-30% of MAC,310.4773327268408,36.14578726612936,186546.3007146793,385,7858.483494282788,59038,407,Turbofan,33.542704978887144
15242,Bombardier Global 6000,81288.36254997023,224182.36704994296,133204.14209557342,15%-30% of MAC,485.3392557968487,114.51396711233784,66767.32070984987,428,46428.0061593139,32631,509,Piston,30.74368347137765
15243,Boeing 737-800,237450.60846725857,513685.8649906878,279345.4989814176,20%-40% of MAC,453.32683706254943,112.19841668988126,272896.9107159251,385,23526.765761406623,47765,457,Piston,54.908999894668
15244,Airbus A380,121228.95612013446,378547.44112144393,373890.269525637,20%-40% of MAC,298.88103920960054,48.70327949570775,31396.94194121908,392,13633.898168785834,25051,558,Turboprop,88.52309896635457
15245,Embraer E190,45431.92658418674,210900.8709883089,105741.49495536368,35%-45% of MAC,275.54697295130575,89.16195644507253,451179.1998452012,206,10246.902158488469,29409,518,Turbofan,45.49528491055362
